TE,species
LTR6B,Homo_sapiens
LTR6C,Homo_sapiens
LTR6D,Homo_sapiens
LTR70,Homo_sapiens
LTR71A,Homo_sapiens
LTR71B,Homo_sapiens
LTR72,Homo_sapiens
LTR72B,Homo_sapiens
LTR73,Homo_sapiens
LTR75,Homo_sapiens
LTR75B,Homo_sapiens
LTR76,Homo_sapiens
LTR77,Homo_sapiens
LTR77B,Homo_sapiens
LTR78B,Homo_sapiens
LTR7A,Homo_sapiens
LTR7B,Homo_sapiens
LTR7C,Homo_sapiens
LTR8,Homo_sapiens
LTR81AB,Homo_sapiens
LTR8A,Homo_sapiens
LTR8B,Homo_sapiens
LTR9,Homo_sapiens
LTR91,Homo_sapiens
LTR9A1,Homo_sapiens
LTR9B,Homo_sapiens
LTR9C,Homo_sapiens
LTR9D,Homo_sapiens
MADE1,Homo_sapiens
MARNA,Homo_sapiens
MER101,Homo_sapiens
MER101B,Homo_sapiens
MER103B,Homo_sapiens
MER103C,Homo_sapiens
MER106,Homo_sapiens
MER106B,Homo_sapiens
MER107,Homo_sapiens
MER110,Homo_sapiens
MER110A,Homo_sapiens
MER110I,Homo_sapiens
MER112,Homo_sapiens
MER113,Homo_sapiens
MER113B,Homo_sapiens
MER117,Homo_sapiens
MER119,Homo_sapiens
MER11A,Homo_sapiens
MER11C,Homo_sapiens
MER11D,Homo_sapiens
MER1A,Homo_sapiens
MER1B,Homo_sapiens
MER20,Homo_sapiens
MER20B,Homo_sapiens
MER21,Homo_sapiens
MER21A,Homo_sapiens
MER21I,Homo_sapiens
MER28,Homo_sapiens
MER30B,Homo_sapiens
MER31,Homo_sapiens
MER31B,Homo_sapiens
MER31_I,Homo_sapiens
MER33,Homo_sapiens
MER34,Homo_sapiens
MER34B,Homo_sapiens
MER34B_I,Homo_sapiens
MER34C,Homo_sapiens
MER34C2,Homo_sapiens
MER39,Homo_sapiens
MER39B,Homo_sapiens
MER41A,Homo_sapiens
MER41B,Homo_sapiens
MER41C,Homo_sapiens
MER41D,Homo_sapiens
MER41F,Homo_sapiens
MER41G,Homo_sapiens
MER41I,Homo_sapiens
MER44A,Homo_sapiens
MER44B,Homo_sapiens
MER44C,Homo_sapiens
MER45,Homo_sapiens
MER45B,Homo_sapiens
MER45C,Homo_sapiens
MER45R,Homo_sapiens
MER48,Homo_sapiens
MER49,Homo_sapiens
MER4A,Homo_sapiens
MER4A1,Homo_sapiens
