LOR1,Homo_sapiens
LOR1a_LTR,Primates
LOR1b_LTR,Primates
LOR1I,Homo_sapiens
LTR06,Homo_sapiens
LTR1,Homo_sapiens
LTR104_Mam,Mammalia
LTR108d_Mam,Mammalia
LTR108e_Mam,Mammalia
LTR10A,Eutheria
LTR10B,Homo_sapiens
LTR10B1,Primates
LTR10B2,Homo_sapiens
LTR10C,Homo_sapiens
LTR10D,Homo_sapiens
LTR10E,Eutheria
LTR10F,Homo_sapiens
LTR10G,Eutheria
LTR11,Homo_sapiens
LTR12,Primates
LTR12B,Homo_sapiens
LTR12C,Homo_sapiens
LTR12D,Homo_sapiens
LTR12E,Homo_sapiens
LTR12F,Primates
LTR13,Homo_sapiens
LTR13A,Homo_sapiens
LTR14,Homo_sapiens
LTR14A,Homo_sapiens
LTR14B,Homo_sapiens
LTR14C,Homo_sapiens
LTR15,Homo_sapiens
LTR16,Homo_sapiens
LTR16A,Eutheria
LTR16A1,Homo_sapiens
LTR16A2,Homo_sapiens
LTR16B,Eutheria
LTR16B1,Eutheria
LTR16B2,Eutheria
LTR16C,Homo_sapiens
LTR16D,Homo_sapiens
LTR16D1,Eutheria
LTR16D2,Eutheria
LTR16E,Homo_sapiens
LTR16E1,Eutheria
LTR16E2,Eutheria
LTR17,Homo_sapiens
LTR18A,Homo_sapiens
LTR18B,Homo_sapiens
LTR18C,Homo_sapiens
LTR19A,Homo_sapiens
LTR19B,Homo_sapiens
LTR19C,Homo_sapiens
LTR1A1,Primates
LTR1A2,Primates
LTR1B,Homo_sapiens
LTR1B0,Primates
LTR1B1,Homo_sapiens
LTR1C,Homo_sapiens
LTR1C1,Primates
LTR1C2,Homo_sapiens
LTR1C3,Primates
LTR1D,Homo_sapiens
LTR1D1,Primates
LTR1E,Homo_sapiens
LTR1F,Homo_sapiens
LTR1F1,Primates
LTR1F2,Primates
LTR2,Homo_sapiens
LTR21A,Homo_sapiens
LTR21B,Homo_sapiens
LTR21C,Homo_sapiens
LTR22,Primates
LTR22A,Homo_sapiens
LTR22B,Homo_sapiens
LTR22B1,Homo_sapiens
LTR22B2,Homo_sapiens
LTR22C,Primates
LTR22C0,Hominidae
LTR22C2,Homo_sapiens
LTR22E,Homo_sapiens
LTR23,Homo_sapiens
LTR24,Homo_sapiens
LTR24B,Homo_sapiens
LTR24C,Homo_sapiens
LTR25,Homo_sapiens
LTR25-int,Primates
LTR26,Homo_sapiens
LTR26B,Primates
LTR26C,Homo_sapiens
LTR26D,Homo_sapiens
LTR26E,Homo_sapiens
LTR27,Homo_sapiens
LTR2752,Homo_sapiens
LTR27B,Homo_sapiens
LTR27C,Homo_sapiens
LTR27D,Homo_sapiens
