,group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
501,5,MT-ND3,57.993458,2.3542953,0.0,0.0,0.814678629210178,0.6406592504893973
502,5,MTCO1P12,45.747902,2.033035,0.0,0.0,0.7162818061479629,0.5762463514986695
503,5,MTND2P28,44.68076,2.3768983,0.0,0.0,0.5965583173996176,0.37034779448827204
504,5,MTCO3P12,42.023136,2.2605464,0.0,0.0,0.5512575378732166,0.3119834952935798
505,5,MTND1P23,41.913147,2.188254,0.0,0.0,0.5844977202529784,0.3750483536320904
506,5,NEAT1,34.641506,1.9281613,5.996851452662027e-263,1.799055435798608e-259,0.44609501397264306,0.26290309346024454
507,5,MTCO2P12,31.41346,1.8077304,1.3252640540352996e-216,3.975792162105899e-213,0.4259449919105751,0.2388376372950099
508,5,MT-RNR1,28.824032,1.0780041,1.0723770195605362e-182,3.217131058681609e-179,0.6548021767907045,0.6035002168587136
509,5,AL669831.3,28.652685,1.5973881,1.4841978233725224e-180,4.4525934701175675e-177,0.4628621856155317,0.3340210294341746
510,5,PTGDS,15.039571,0.62916374,4.0416353017109185e-51,1.2124905905132756e-47,0.6973084277099574,0.6782637236399442
511,5,FP671120.4,12.854245,1.26052,8.14168377198348e-38,2.442505131595044e-34,0.2641564936020003,0.19278153535969242
512,5,RNA5-8SN2,12.133618,2.6748018,7.008312691877595e-34,2.1024938075632784e-30,0.12237093690248566,0.03685425922235638
513,5,MTND4P12,10.121441,1.384098,4.438331074414441e-24,1.3314993223243322e-20,0.1675246359758788,0.10133749076885205
514,5,AC114498.2,8.795147,1.2409014,1.4286052579246004e-18,4.2858157737738016e-15,0.1619355787615826,0.1052175034287121
515,5,ANKRD36C,8.652091,1.65348,5.05643618732631e-18,1.5169308561978928e-14,0.18811589939697015,0.14679576598014277
516,5,SYNE2,7.6446733,1.7115924,2.0947667694924837e-14,6.28430030847745e-11,0.1460508898367407,0.10112649310154849
600,6,GAGE12J,114.255745,5.5253687,0.0,0.0,0.9423650215303081,0.11893807366097363
601,6,LTR12C,109.444,4.1821313,0.0,0.0,0.9405432262338522,0.4179737423027768
602,6,XAGE1A,108.83936,4.8909535,0.0,0.0,0.9044385558131832,0.12611827582200535
603,6,GAGE2E,103.732864,5.179216,0.0,0.0,0.8527658164955283,0.07531079354014175
604,6,PAGE2B,90.151924,4.0695,0.0,0.0,0.7724412056972507,0.09456256535378181
605,6,VCX3A,88.33129,3.698809,0.0,0.0,0.8156674395495197,0.1498663878238643
606,6,GAGE1,85.58366,4.903051,0.0,0.0,0.7071878105332892,0.06269315673289183
607,6,SOX4,82.05037,4.5603304,0.0,0.0,0.6790327923153362,0.05926571395375857
608,6,TKTL1,79.5271,4.3180537,0.0,0.0,0.6667770785028155,0.06628325781340769
609,6,TSPY2,78.546715,5.1912,0.0,0.0,0.6293474660483603,0.027942372487510168
610,6,HIST1H4C,78.51283,3.3739192,0.0,0.0,0.7528983106989069,0.19205298013245034
611,6,REP522,75.97699,4.096306,0.0,0.0,0.6593242795627692,0.11726501684675264
612,6,GAGE2A,72.83484,4.8996253,0.0,0.0,0.5965551507121564,0.04279075171372139
613,6,VCX,70.27233,3.1156337,0.0,0.0,0.656011924478304,0.12005344487045429
614,6,VCX3B,69.304565,3.2100372,0.0,0.0,0.6339847631666115,0.10320669222725688
615,6,VCY1B,66.12184,3.4068258,0.0,0.0,0.5912553825770123,0.08130591379110026
616,6,ZCWPW1,65.6106,2.4786775,0.0,0.0,0.6406094733355415,0.12575810386894387
617,6,FMR1NB,62.97563,2.970819,0.0,0.0,0.5761841669426963,0.08077146508655746
618,6,LTR12D,57.740776,2.7232077,0.0,0.0,0.5664127194435243,0.14530033693505287
619,6,LTR12,55.89765,2.7518427,0.0,0.0,0.5536601523683339,0.15394446380852794
620,6,HSPB1,51.9961,1.7607293,0.0,0.0,0.6207353428287512,0.19726966422679215
621,6,HPRT1,50.94851,1.9991739,0.0,0.0,0.5266644584299437,0.11955385151620773
